name,version,direct,dependencyType,scope,source,licenseMetadata,licenseFileDetected,licenseFromFileGuess,metadataFileMatch,inProductionBundle,devToolOnly,obligations,risk,recommendedAction,repository,homepage,whereFound
"tippy.js","6.3.7","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/atomiks/tippyjs.git","https://atomiks.github.io/tippyjs/","prod"
"@tiptap/extension-bubble-menu","2.27.2","transitive","transitive dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/ueberdosis/tiptap","https://tiptap.dev","prod"
"react-force-graph-2d","1.29.1","direct","dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vasturiano/react-force-graph.git","https://github.com/vasturiano/react-force-graph","prod"
"react-kapsule","2.5.7","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vasturiano/react-kapsule.git","https://github.com/vasturiano/react-kapsule","prod"
"jerrypick","1.1.2","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vasturiano/jerrypick.git","https://github.com/vasturiano/jerrypick","prod"
"prop-types","15.8.1","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","facebook/prop-types","https://facebook.github.io/react/","prod"
"object-assign","4.1.1","transitive","transitive dependency","prod","npm","MIT","license","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","sindresorhus/object-assign","","prod"
"react-is","16.13.1","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/facebook/react.git","https://reactjs.org/","prod"
"loose-envify","1.4.0","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git://github.com/zertosh/loose-envify.git","https://github.com/zertosh/loose-envify","prod"
"js-tokens","4.0.0","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","lydell/js-tokens","","prod"
"force-graph","1.51.2","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vasturiano/force-graph.git","https://github.com/vasturiano/force-graph","prod"
"@tweenjs/tween.js","25.0.0","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/tweenjs/tween.js.git","https://github.com/tweenjs/tween.js","prod"
"accessor-fn","1.5.3","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vasturiano/accessor-fn.git","https://github.com/vasturiano/accessor-fn","prod"
"bezier-js","6.1.4","transitive","transitive dependency","prod","npm","MIT","","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/Pomax/bezierjs","https://github.com/Pomax/bezierjs","prod"
"d3-selection","3.0.0","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-selection.git","https://d3js.org/d3-selection/","prod"
"index-array-by","1.4.2","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vasturiano/index-array-by.git","https://github.com/vasturiano/index-array-by","prod"
"kapsule","1.16.3","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vasturiano/kapsule.git","https://github.com/vasturiano/kapsule","prod"
"lodash-es","4.18.1","transitive","transitive dependency","prod","npm","MIT","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","lodash/lodash","https://lodash.com/custom-builds","prod"
"canvas-color-tracker","1.3.2","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","git+https://github.com/vasturiano/canvas-color-tracker.git","https://github.com/vasturiano/canvas-color-tracker","prod"
"tinycolor2","1.6.0","transitive","transitive dependency","prod","npm","MIT","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/bgrins/TinyColor.git","","prod"
"d3-array","3.2.4","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-array.git","https://d3js.org/d3-array/","prod"
"internmap","2.0.3","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/mbostock/internmap.git","https://github.com/mbostock/internmap/","prod"
"d3-drag","3.0.0","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-drag.git","https://d3js.org/d3-drag/","prod"
"d3-dispatch","3.0.1","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-dispatch.git","https://d3js.org/d3-dispatch/","prod"
"d3-force-3d","3.0.6","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/vasturiano/d3-force-3d.git","https://github.com/vasturiano/d3-force-3d","prod"
"d3-binarytree","1.0.2","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/vasturiano/d3-binarytree.git","https://github.com/vasturiano/d3-binarytree","prod"
"d3-octree","1.1.0","transitive","transitive dependency","prod","npm","MIT","LICENSE","MIT License","likely-match","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/vasturiano/d3-octree.git","https://github.com/vasturiano/d3-octree","prod"
"d3-quadtree","3.0.1","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-quadtree.git","https://d3js.org/d3-quadtree/","prod"
"d3-timer","3.0.1","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-timer.git","https://d3js.org/d3-timer/","prod"
"d3-scale-chromatic","3.1.0","transitive","transitive dependency","prod","npm","ISC","LICENSE","Apache License, Version 2.0","mismatch-possible","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-scale-chromatic.git","https://d3js.org/d3-scale-chromatic/","prod"
"d3-color","3.1.0","transitive","transitive dependency","prod","npm","ISC","LICENSE","","insufficient-data","yes","no","zachowanie copyright; attribution/licencja w dystrybucji","GREEN","zachowaj notice/licencje","https://github.com/d3/d3-color.git","https://d3js.org/d3-color/","prod"
